WKU,Title,App_Date,Issue_Date,Inventor,Assignee,ICL_Class,References,Claims
D02463369,"Dress",1976-02-20,1977-11-15,"Doris Brosk","",D0202,D111937;1807908;2899962,"The ornamental design for a dress, as shown and described."
D02463377,"Sandal",1975-10-23,1977-11-15,"Stephen Niarhos","",D0204,D110362;2167035;2761224;3000116;3925915,"The ornamental design for a sandal, as shown and described."
D02463385,"Dispenser for liquids",1974-07-05,1977-11-15,"Paul W. Jespersen","Georgia-Pacific Corporation",D2302,D104134;D135463;D227635;3437388,"The ornamental design for a dispenser for liquids, as shown and described."
D02463393,"Tissue dispensing apparatus",1976-03-17,1977-11-15,"Gideon S. Tucker","",D2302,D204686;D206954;D235832;3253871,"The ornamental design for a tissue dispensing apparatus, as shown."
D02463407,"Combined paddle and ball holder",1976-07-21,1977-11-15,"Arlene Frank","",D0604,D191709;1513514;2134411;3834497,"The ornamental design for a combined paddle and ball holder, as shown anddescribed."
D02463415,"Table",1976-05-17,1977-11-15,"Stephen G. Boughton","Samsonite Corporation",D0603,D240382,"The ornamental design for a table, as shown and described."
D02463423,"Food service pan",1976-03-15,1977-11-15,"Ronald C. Yonkers","Rubbermaid Commercial Products Inc.",D0701,D198290;D214832;D216531;D232612;2767878,"The ornamental design for a food service pan, as shown."
D02463431,"Dough box",1976-01-28,1977-11-15,"Frank Morabito","",D0799,D46623;D92248;D93209;D161752,"The ornamental design for a dough box, as shown."
D02463440,"Food service pan lid",1976-03-15,1977-11-15,"Ronald C. Yonkers","Rubbermaid Commercial Products Inc.",D0702,D118823;D196058;1650634;1717974;3344974,"The ornamental design for a food service pan lid, as shown."
D02463458,"Implement to tuck blanket in waterbeds",1975-06-16,1977-11-15,"Marcia E. Poncia","",D0799,D32484;D233586;2900656;3408677,"The ornamental design for an implement to tuck blanket in waterbeds, asshown and described."
D02463466,"Shim for motor or the like",1975-05-08,1977-11-15,"Fred E. Strunk","",D0808,2431342,"The ornamental design for a shim for motor or the like, as shown anddescribed."
D02463474,"Bottle",1976-03-26,1977-11-15,"William James Britt","Morton-Norwich Products, Inc.",D0901,D216580;D224828;D237252,"The ornamental design for a bottle, as shown."
D02463482,"Combined display and packaging container",1976-03-29,1977-11-15,"W. Lee Einhorn","",D0903,D167488;D167592;D179258;D241055;2299511;2573916;2917853,"The ornamental design for a combined display and packaging container,substantially as shown and described."
D02463490,"Food carton",1976-04-21,1977-11-15,"Carle D. Klupt","Doughtie s Foods, Inc.",D0903,D219009;937173;2134971,"The ornamental design for a food carton, as shown and described."
D02463504,"Material handling box",1975-11-13,1977-11-15,"William R. Powell","The Powell Pressed Steel Company",D0904,D188073;D193215;D205799;D233181;D241480,"The ornamental design for a material handling box, as shown and described."
D02463512,"Digital clock",1976-03-08,1977-11-15,"Yoshisaburo Yoshida;Seiichiro Nishiguchi","Sharp Kabushiki Kaisha",D1001,D222164;D222979;D227176;D234507;D242847;3845614;3872235,"The ornamental design for a digital clock, as shown and described."
D02463520,"Probe cover",1976-05-27,1977-11-15,"Jerald P. Dykstra","Amsco/Medical Electronics, Inc.",D1004,D199472;D218851,"The ornamental design for a probe cover, as shown and described."
D02463539,"Combined neck chain and pendants",1975-12-15,1977-11-15,"Henri Elkaim","",D1101,D216371;264447,"The ornamental design for a combined neck chain and pendants, substantiallyas shown and described."
D02463547,"Wire and diamond ring",1976-09-15,1977-11-15,"Alfred Joseph Durante","Cartier, Inc.",D1101,D101947,"The ornamental design for a wire and diamond ring, as shown and described."
D02463555,"Diamond pendant",1976-09-15,1977-11-15,"Alfred Joseph Durante","Cartier, Inc.",D1101,D234860;1850190,"The ornamental design for a diamond pendant, as shown and described."
D02463563,"Pendant doll",1976-01-19,1977-11-15,"Douglas A. Fox","",D1101,D65520;D136079;D137997;D152238,"The ornamental design for a pendant doll, substantially as shown anddescribed."
D02463571,"Earring",1975-10-06,1977-11-15,"Alfred Joseph Durante","Cartier, Inc.",D1101,D106867;D155326,"The ornamental design for an earring, as shown and described."
D02463580,"Sunburst wall plaque",1976-04-29,1977-11-15,"Donald R. Ditto","",D1102,,"The ornamental design for a sunburst wall plaque, substantially as shown."
D02463598,"Cart for fishing equipment",1976-09-20,1977-11-15,"Harvey B. Powers;Joan H. Powers","",D1202,D146241;3669464;3780466,"The ornamental design for a cart for fishing equipment, as shown."
D02463601,"Van body",1976-01-26,1977-11-15,"Paul R. Hafer","Boyertown Auto Body Works",D1208,D190077,"The ornamental design for van body, as shown and described."
D02463610,"Pneumatic tire tread and buttress",1976-11-24,1977-11-15,"Gerassimos C. Candiliotis","Uniroyal, Inc.",D1215,D237065;D238768;D244129,"The ornamental design for a pneumatic tire tread and buttress,substantially as shown and described."
D02463628,"Combined utility and book holder supporting tray, hold open brace and",1976-12-02,1977-11-15,"Gus Levin","",D1216;D0606,D218759;3123935;3220025,"The ornamental design for combined utility and bookholder supporting tray,hold open brace and patient restraint to be removably mounted on thearmrests of collapsible wheelchairs, as shown and described."
D02463636,"Pneumatic tire tread and buttress",1977-03-04,1977-11-15,"Dionysius J. Poque","Uniroyal Aktiengesellschaft",D1215,D239273,"The ornamental design for a pneumatic tire tread and buttress,substantially as shown and described."
D02463644,"Pneumatic tire tread and buttress",1977-01-21,1977-11-15,"Gerassimos C. Candiliotis","",D1215,D222899,"The ornamental design for a pneumatic tire tread and buttress,substantially as shown and described."
D02463652,"Pickup truck camper unit",1976-05-24,1977-11-15,"Gary W. Floyd","",D1216,D239269;D240521;3844605,"The ornamental design for a pickup truck camper unit, as shown anddescribed."
D02463660,"Clamp-type electrical connector",1976-03-22,1977-11-15,"James L. McGrath","UTM Power Products, Inc.",D1303,1991669,"The ornamental design for a clamp-type electrical connector, as shown anddescribed."
D02463679,"Film reel spacer",1975-10-08,1977-11-15,"Martin M. Schankler","Microfilm Enterprises Corporation",D1605,1920657;3885751;3889894;3973740,"The ornamental design for a film reel spacer, as shown and described."
D02463687,"Desk top computer",1976-07-19,1977-11-15,"Richard G. Barnich;Gary D. Johnson","Process Computer Systems, Inc.",D1402,D221154;D223096,"The ornamental design for a  desk top computer,  as shown and described."
D02463695,"Tap transducer intercom",1975-10-08,1977-11-15,"Gerard J. O Brien, deceased;by Catherine H. O Brien, administratrix/executrix","",D1403,D240834;3909558;3932711;3970804,"The ornamental design for a tap transducer intercom, substantially as shownand described."
D02463709,"Tractor hood",1976-08-09,1977-11-15,"Leo J. Lorenz","Massey-Ferguson Inc.",D1503,D225521,"The ornamental design for a tractor hood, substantially as shown anddescribed."
D02463717,"Liquid applicator",1976-02-19,1977-11-15,"Andrew L. Pansini","",D1599,D121293;D194093;3172415,"The ornamental design for a liquid applicator, as shown and described."
D02463725,"Grip for a photographic camera",1976-09-08,1977-11-15,"Zenzaburo Yoshino","",D1699,D131341;D201158,"The ornamental design for a grip for a photographic camera, as shown."
D02463733,"Paper overfeed tray",1976-06-21,1977-11-15,"Melvin G. Crandell;Richard E. Reeves;Leonard Schachner;David A. Benner","Xerox Corporation",D1699;D1999,D136711;D139823;D163463;D238779,"The ornamental design for a paper overfeed tray, as shown and described."
D02463741,"Educational aid",1976-02-19,1977-11-15,"Dorothy L. Ratcliff;Ford Ratcliff, Jr.","",D1907,,"The ornamental design for an educational aid, as shown and described."
D02463750,"Sewage tank",1976-01-30,1977-11-15,"Ake Oskar Vilhelm Hellqvist","",D2301,D233233;D234298;3221881;3662918;3875066;3898162,"The ornamental design for a sewage tank."
D02463768,"Filter",1976-10-18,1977-11-15,"David B. Pall","Pall Corporation",D2301,D232551;D234721;D235035;3002870;3370711;3696932;3701433;3872008;3896733,"The ornamental design for a filter, substantially as shown and described."
D02463776,"Flow control valve",1976-02-19,1977-11-15,"Andrew L. Pansini","",D2301,D190895;2339101;3392738;3779269;3921654,"The design for a flow control valve, as shown."
D02463784,"Air conditioner cover",1976-10-04,1977-11-15,"Walter Mueller","",D2304,D200678;D206103;D224011;2780982;2826472;2917128;3011424,"The ornamental design for an air conditioner cover, as shown and described."
D02463792,"Air conditioner cover",1977-02-09,1977-11-15,"Walter Mueller","",D2304,D200678;D206103;D224011;2780982;2826472;2917128;3011424,"The ornamental design for an air conditioner cover, as shown."
D02463806,"Device for pipetting of liquids",1975-09-23,1977-11-15,"Alfons Th. Boothby","",D2402,D199309;D228492;3244009;3290946;3760639;3810391;3991617,"The ornamental design for a device for pipetting of liquids, as shown."
D02463814,"Portable prefabricated restaurant building",1974-01-21,1977-11-15,"Robert Barlow;Frank Cesare;Carmen Miceli","Frank J. Cesare",D2503,D180243;3808401,"The ornamental design for a portable prefabricated restaurant building, asshown and described."
D02463822,"Bedpan",1975-11-10,1977-11-15,"John Castlereagh Parker, III","",D2404,D215980;2188844;2817093;3199119;3514793;3939502,"The ornamental design for a bedpan, as shown."
D02463830,"Concrete station",1975-10-28,1977-11-15,"Sture Bostrom","Aktiebolaget Robacks Mekaniska",D2503,D239527;3999069,"The ornamental design for a concrete station, as shown."
D02463849,"Pre-cast concrete unit for manholes",1976-08-09,1977-11-15,"Brian E. Brown;Alfred G. Hall","Moduloc Concrete Products (London) Ltd.",D2502,D30695;D30697;315836;2346361,"The ornamental design for a pre-cast concrete unit for manholes, as shownand described."
D02463857,"Grille and the like",1976-01-21,1977-11-15,"Robert T. Bogan","",D2501;D2502,D198505;671756;949600;3184074;3564770;3899860,"The ornamental design for a grille and the like, as shown and described."
