WKU,Title,App_Date,Issue_Date,Inventor,Assignee,ICL_Class,References,Claims
D02461412,"Fastener",1975-01-06,1977-10-25,"Harry E. Mazur","",D0207,D201277;623987;624503,"The ornamental design for a fastener, as shown."
D02461420,"Bench or similar article",1976-09-22,1977-10-25,"Jules M. Heumann","Metropolitan Furniture Manufacturing Company",D0601,D181730;D240185;D240186;D240582,"The ornamental design for a bench or similar article, substantially asshown and described."
D02461439,"Seat",1976-06-11,1977-10-25,"Stanley P. Nash","Schweiger Industries, Inc.",D0601,D237921;D239424;D243217,"The ornamental design for a seat, as shown."
D02461447,"Seat",1976-06-11,1977-10-25,"Stanley P. Nash","Schweiger Industries, Inc.",D0601,D228596;D235289;D236048;D237435,"The ornamental design for a seat, as shown."
D02461455,"Hanging support for articles",1976-03-18,1977-10-25,"Lee Hendricks","",D0604;D1102,D32075;D47531;D91362;D97308;196005;D212959;2145766,"The ornamental design for hanging support for articles, as shown anddescribed."
D02461463,"Chest of drawers",1976-06-18,1977-10-25,"Robert K. S. Han","",D0604,D45578;D132151;D160123;D194470;D215900;D236055,"The ornamental design for chest of drawers, as shown."
D02461471,"Combined multiple cabinet and shelf storage unit",1976-05-27,1977-10-25,"Walter Muller","",D0604,D203122;D217163;D232289;3977742,"The ornamental design for a combined multiple cabinet and shelf storageunit, substantially as shown and described."
D02461480,"Dispensing rack for contact lens vials",1976-06-18,1977-10-25,"Edwin F. Kusek","Wesley-Jessen Inc.",D0604,D82276;D198421;D207411;2235046,"The ornamental design for a dispensing rack for contact lens vials,substantially as shown and described."
D02461498,"Electric food cooker",1976-05-17,1977-10-25,"Monte L. Levin","Scovill Manufacturing Company",D0702,D194336;D240993,"The ornamental design for an electric food cooker, substantially as shown."
D02461501,"Citrus fruit juice extractor",1975-12-09,1977-10-25,"Bisked U. Evangelista","",D0704,942306;1889883;2807205,"The ornamental design for a citrus fruit juice extractor, as shown."
D02461510,"Portable cooking stove",1975-07-29,1977-10-25,"Ming Kong Chan","",D0704,D215251;D228274;2928386;3171398;3400704;3703166,"The ornamental design for a portable cooking stove, substantially as shownand described."
