WKU,Title,App_Date,Issue_Date,Inventor,Assignee,ICL_Class,References,Claims
D02434210,"Sport shoe",1975-07-31,1977-02-22,"William J. Cohen","CITC Industries, Inc.",D0204,2539761;D238984;D239887,"The ornamental design for a sport shoe, as shown."
D02434229,"Tongue brush",1974-11-04,1977-02-22,"Ilona D. Varga","",D0402,1913990;2155245,"The ornamental design for a tongue brush, as shown and described."
D02434237,"Upholstered seat",1975-07-14,1977-02-22,"Alberto Rosselli","Fratelli Saporiti",D0601,D237436;D238033,"The ornamental design for an upholstered seat, substantially as shown anddescribed."
D02434245,"Upholstered seat",1975-07-14,1977-02-22,"Giovanni Offredi","Fratelli Saporiti",D0601,,"The ornamental design for an upholstered seat, substantially as shown anddescribed."
D02434253,"Chair",1975-10-21,1977-02-22,"Sidney Gibson","",D0601,D235711,"The ornamental design for a chair, as shown."
D02434261,"Hot comb holder",1976-02-26,1977-02-22,"John A. Joslyn","",D0604,3627248;D214383;D215311;D217225;D225937,"The ornamental design for a hot comb holder, as shown."
D02434270,"Frame for a seat",1975-08-27,1977-02-22,"William R. Watts","",D0606,2979122;D211869;D229591,"The ornamental design for a frame for a seat, substantially as shown."
D02434288,"Covered food bowl or similar article",1975-07-28,1977-02-22,"James Lloyd Thrush","Anchor Hocking Corporation",D0705,D8387;D16193;D88946,"The ornamental design for a covered food bowl or similar article,substantially as shown and described."
D02434296,"Covered food bowl or similar article",1975-08-13,1977-02-22,"James Lloyd Thrush","Anchor Hocking Corporation",D0701,D75954;D99533;D140213;D155361;D165830;D197791,"The ornamental design for a covered food bowl or similar article,substantially as shown and described."
D02434300,"Covered food bowl or similar article",1975-10-23,1977-02-22,"James Lloyd Thrush","Anchor Hocking Corporation",D0701,D4457;D16812;D19749;D115881;D119403;D119967;D175832;D182302,"The ornamental design for a covered food bowl or similar article,substantially as shown and described."
D02434318,"Goblet or similar article",1975-01-29,1977-02-22,"Frank J. Benes","Anchor Hocking Corporation",D0701,D2323;D7758;D46642;D46733;D55319;D76673;D175708;D214846,"The ornamental design for a goblet or similar article, substantially asshown and described."
D02434326,"Plate or the like",1975-07-18,1977-02-22,"Ottorino N. Mercadante","Corning Glass Works",D0701,D32469;D44529;D48824;D64130;D114684;D161242;D209981;D220520,"The ornamental design for a plate or the like, as shown and described."
D02434334,"Pitcher or similar article",1974-12-05,1977-02-22,"Frank J. Benes","Anchor Hocking Corporation",D0701,D52002;D85077;D108358;D216476;D219045,"The ornamental design for a pitcher or similar article, substantially asshown and described."
D02434342,"Pitcher",1975-04-09,1977-02-22,"Richard E. R. Cone","Plastics Manufacturing Company",D0701,D212035;D212584;D214392;D221980,"The ornamental design for a pitcher, as shown."
D02434350,"Combined table place mat and napkin holder",1976-02-25,1977-02-22,"Beulah J. Hoffman","",D0604;D0706,3442393;D96669;D209849;D232201,"The ornamental design for a combined table place mat and napkin holder,substantially as shown and described."
D02434369,"Barbecue grill",1976-04-26,1977-02-22,"Kenneth J. Vida","",D0704,3149623;3570469;3905286,"The ornamental design for a barbecue grill, as shown."
D02434377,"Article of flatware",1975-05-21,1977-02-22,"William J. Knope","International Silver Company",D0703,D3384;D16412;D27238;D33323;D92789;D227152;D233502,"The ornamental design for an article of flatware, as shown and described."
D02434385,"Rake for spreading insulation in building structures",1975-07-07,1977-02-22,"Ray E. Batley","",D0805,1136770;1336861;2726504;2787882;2795923;2891374;D133489;D209660;D220420;D237245,"The ornamental design for insulation rake, substantially as shown."
D02434393,"Handle for a percussion tool or the like",1975-07-29,1977-02-22,"Stig Rune Zernell","Atlas Copco Aktiebolag",D0805,D217583,"The ornamental design for a handle for a percussion tool or the like, asshown."
D02434407,"Support hook for shelves or the like",1975-08-01,1977-02-22,"Nils Erik Strinning","String-Seffle Mobelfabrik AB",D0808,3081717;3536015;3631821;3895774;D204906;D224083;D234283,"The ornamental design for a support hook for shelves or the like, forfastening shelves, as shown."
D02434415,"Hook",1975-05-28,1977-02-22,"Alexander L. Podd","",D0808,829239;1230446;2470878;2958498;2998142;3139260;3912214,"The ornamental design for a hook, as shown."
D02434423,"Bottle",1975-03-10,1977-02-22,"Robin M. Montgomery","Max Factor & Co.",D0901,D156002;D169926;D204167;D211001,"The ornamental design for a bottle, substantially as shown and described."
D02434431,"Combined display card and holder for a cylindrical article",1975-10-06,1977-02-22,"Tadaaki Hayashi","",D0903,2941664;3116829;3326370;3370733;3408758,"The ornamental design for a combined display card and holder for acylindrical article, as shown."
D02434440,"Clock face",1975-06-05,1977-02-22,"Daniel L. Miller","",D1001,3148500;D75687;D193659,"The ornamental design for a clock, as shown and described."
D02434458,"Boat",1975-12-03,1977-02-22,"Nasim Khoury","Bell Industries",D1206,D224363,"The design for a boat, substantially as shown."
D02434466,"Sailboat",1975-07-17,1977-02-22,"David T. Livingston","Reinell Boats, Inc.",D1206,,"The ornamental design for a sailboat, as shown."
D02434474,"Foot lever for motorcycles",1974-12-17,1977-02-22,"Grover C. Smith, III;Thomas M. Smith","Interstate Sports, Inc.",D1211,,"The ornamental design for a foot lever for motorcycles, as shown anddescribed."
D02434482,"Pneumatic tire tread and buttress",1976-03-04,1977-02-22,"Gerhard Franz-Josef Senger","Uniroyal A.G.",D1215,D239273,"The ornamental design for a pneumatic tire tread and buttress,substantially as shown and described."
D02434490,"Vehicle tire",1976-05-14,1977-02-22,"Toshio Hayakawa;Masao Nakamura","Bridgestone Tire Company Limited",D1215,D178373;D178852,"The ornamental design for a vehicle tire, substantially as shown anddescribed."
