WKU,Title,App_Date,Issue_Date,Inventor,Assignee,ICL_Class,References,Claims
D02464861,"Fluid filled insole for footwear",1976-01-28,1977-11-29,"John Wesley Nickel","",D0204,3071877,"The ornamental design for a fluid filled insole for footwear, as shown anddescribed."
D02464870,"Belt pack for a veterinarian or the like",1976-03-08,1977-11-29,"Robert Waters","",D0207,D194020;D239886;D240572;1344377;2753094;3130883,"The ornamental design for a belt pack for a veterinarian or the like, asshown."
D02464888,"Buckle",1976-02-20,1977-11-29,"Jacques Zimmerman","Les Must de Cartier-France",D0207,3043037,"The ornamental design for a buckle, as shown and described."
D02464896,"Combined toothbrush holder and pill dispenser",1975-12-04,1977-11-29,"David Lynn Cunningham","",D0402;D0903,1364188;1423405;2284217;2534100;3495567,"The ornamental design for a combined toothbrush holder and pill dispenser,as shown and described."
D02464900,"Combined chair and collapsible table unit",1975-08-15,1977-11-29,"Clement P. DuFresne","Fairchild Industries, Inc.",D0605,D180137;D190030;D193614;D211988;D225193;D227954,"The ornamental design for a combined chair and collapsible table unit,substantially as shown and described."
D02464918,"Tray for display and storage of flexible bags",1976-01-12,1977-11-29,"Herbert Fred D Alo","Abbott Laboratories",D0604;D2002,D216605;D237766;4003372,"The ornamental design for a tray for display and storage of flexible bags,substantially as shown and described."
D02464926,"Seat",1976-08-06,1977-11-29,"Pierre Roset","Roset S.A.",D0601,D237027;D238527;D239795;D242964;D243047;3893731,"The ornamental design for a seat, substantially as shown and described."
D02464934,"Couch frame",1975-03-21,1977-11-29,"Werner Blaser","Dasu Anstalt",D0606,,"The ornamental design for a couch frame, as shown and described."
D02464942,"Cup or similar article",1975-06-25,1977-11-29,"George B. Jensen","Syracuse China Corporation",D0701,D13845;D29617;D53247;D100852;3224629,"The ornamental design for a cup or similar article, as shown and described."
D02464950,"Cookie cutter",1976-03-26,1977-11-29,"Paula J. Montano","",D0704,D24342;D101584,"The ornamental design for a cookie cutter, substantially as shown anddescribed."
D02464969,"Litter receptacle",1976-02-17,1977-11-29,"Harald Weckwerth","",D0705,D229279;D233127;D234288,"The ornamental design for a litter receptacle, as shown and described."
D02464977,"Iron cover",1976-01-30,1977-11-29,"Manabu Toyosawa","",D0705,D153350;2074159;2095954,"The ornamental design for an iron cover, as shown."
D02464985,"Blade for a mortar hoe",1976-01-23,1977-11-29,"John Polc","",D0801,565379;1127440;1845222;3672716,"The ornamental design for a blade for a mortar hoe, as shown."
D02464993,"Materials handling device",1976-08-09,1977-11-29,"Lance K. Poulsen;Richard D. Miller;Robert D. Flinn","Rajo Motor & Manufacturing Company",D0805,D195589;D199333;2212755;3061351;3831991,"The ornamental design for a materials handling device, substantially asshown and described."
D02465000,"Materials handling device",1976-08-09,1977-11-29,"Lance K. Poulsen;Richard D. Miller;Robert D. Flinn","Rajo Motor & Manufacturing Company",D0805,D195589;D199333;2212755;3061351;3831991,"The ornamental design for a materials handling device, substantially asshown and described."
D02465019,"Pull",1976-12-01,1977-11-29,"LaVerne E. Clayton","Amerock Corporation",D0806,D140760;D175886,"The ornamental design for a pull, as shown."
D02465027,"Escutcheon for a knob",1976-12-01,1977-11-29,"LaVerne E. Clayton","Amerock Corporation",D0809,D56143;D211937;D211938;D224776,"The ornamental design for an escutcheon for a knob, as shown."
D02465035,"Escutcheon",1976-12-01,1977-11-29,"LaVerne E. Clayton","Amerock Corporation",D0809,D56142;D211937;D211938;D224776,"The ornamental design for an escutcheon, as shown."
D02465043,"Beverage container",1976-03-22,1977-11-29,"Gary F. Anger;Joseph C. Sesnak","",D0901,D92986;D119205;D175182;D193533,"The ornamental design of a beverage container, substantially as shown."
D02465051,"Bottle",1975-12-18,1977-11-29,"John Paul Veasy","Owens-Illinois, Inc.",D0901,D125473;D216584;D237461,"The ornamental design for a bottle, substantially as shown and described."
D02465060,"Bottle",1975-12-18,1977-11-29,"John Paul Veasy","Owens-Illinois, Inc.",D0901,D125473;D216584;D237461,"The ornamental design for a bottle, substantially as shown and described."
D02465078,"Container for liquids",1976-03-01,1977-11-29,"David Charles Danielson","International Business Machines Corporation",D0903,D177570;D200074;D225511;D226901,"The ornamental design for a container for liquids, substantially as shown."
D02465086,"Pill Box",1975-05-12,1977-11-29,"Arthur A. Nudell","",D0903,D232523;2097858,"The ornamental design for a pill box, as shown and described."
D02465094,"Toothpaste tube",1975-06-12,1977-11-29,"Sidney Hytken","",D0903,D45748;D191146;1992712;2925935;2948452;3306512;3459294,"The ornamental design for a toothpaste tube, as shown and described."
D02465108,"Plastic bag",1975-10-20,1977-11-29,"Spencer B. T. Lin","",D0905,D135734;2429389;3243099;3463381,"The ornamental design for a plastic bag, substantially as shown anddescribed."
D02465116,"Container closure",1975-06-02,1977-11-29,"Sidney M. Libit","",D0907,RE27673;3695476;3848761;3900123;3924769,"The ornamental design for a container closure, as shown and described."
D02465124,"Brake lining gauge",1976-01-20,1977-11-29,"Frederick R. McFarland;Walter L. Diffenderfer","K-D Manufacturing Company",D1004,D215672;2341796;3006076;3308546;3827153,"The ornamental design for a brake lining gauge, as shown and described."
D02465132,"Permanent land survey marker",1973-08-23,1977-11-29,"Joseph Laureat Garneau","",D1099,191919;401782;1037147;2154966;3754360,"The ornamental design for a permanent land survey marker, substantially asshown and described."
D02465140,"Hands for a timepiece",1976-03-15,1977-11-29,"Barbara S. Honegger","",D1007,D14162;D163797;D171078;D173520;3022626,"The ornamental design for hands for a timepiece, as shown and described."
D02465159,"Finger ring setting",1976-11-29,1977-11-29,"Stanley M. Rosenfeld","",D1101,D155167;2084008;2859971,"The ornamental design for a finger ring setting, substantially as shown anddescribed."
