WKU,Title,App_Date,Issue_Date,Inventor,Assignee,ICL_Class,References,Claims
D02433710,"Invertible table unit",1975-07-07,1977-02-15,"Marilyn M. Abrams","",D0606,D155663;D193305;D219443;D220997,"The ornamental design for an invertible table unit, as shown and described."
D02433729,"Chair",1975-06-02,1977-02-15,"Robert J. Denny;Richard D. Horowitz","",D0601,D184993;D230918;D231880;3606460;3695691,"The ornamental design for a chair, as shown."
D02433737,"Display stand",1976-02-03,1977-02-15,"Marian E. Garsen","",D2002,D188973;D236397,"The ornamental design for a display stand, as shown."
D02433745,"Soap dispenser",1975-12-22,1977-02-15,"Antonio Macchi Cassia","Steiner American Corporation",D2302,D209038;2529197;3459343,"The ornamental design for a soap dispenser, as shown and described."
D02433753,"Jewelry display cabinet",1976-05-10,1977-02-15,"Russell A. DiOrio","DiOrio Enterprises, Inc.",D2002;D0604,D187477;D217628;3880484,"The ornamental design for a jewelry display cabinet, substantially asshown."
D02433761,"Table",1975-07-11,1977-02-15,"Rupert A. Scott","Rowe Furniture Corporation",D0603,,"The ornamental design for a table, substantially as shown and described."
D02433770,"Combined shelf and multiple cabinet unit",1975-06-02,1977-02-15,"Ronald M. Moore","",D0604,D28032;D180150;D196451;D214540;D236779,"The ornamental design for combined shelf and multiple cabinet unit, asshown and described."
D02433788,"Picture frame",1974-10-03,1977-02-15,"Gary Lee Tharp","",D0607,D230238;2841903,"The ornamental design for a picture frame, substantially as shown anddescribed."
D02433796,"Hot cup coaster and lid",1975-03-17,1977-02-15,"Emett O. Meeks","",D0706,D221420;D237689;3598271,"The ornamental design for a combined hot cup coaster and lid, as shown."
D02433800,"Cooking and utility pan",1975-06-19,1977-02-15,"Leon H. Berger","",D0702,D45946;D75723;D91229;D214678;D222680,"The ornamental design for a cooking and utility pan, as shown."
D02433818,"Spatula",1975-07-07,1977-02-15,"Thomas A. Kridos","",D0702,1130234;2137458;2252873;2563255,"The ornamental design for a spatula, as shown."
D02433826,"Record washer or similar article",1975-08-18,1977-02-15,"Dana W. Mox;Charles M. Smith;Craig J. Hudson","Fidelitone, Inc.",D0705,2121307;3005223;3150401;3401708;3534425,"The ornamental design for a record washer or similar article, substantiallyas shown and described."
D02433834,"Bottle scraper",1976-05-04,1977-02-15,"Norman J. Ploszaj","",D0705,D175450;351798;2901762,"The ornamental design for a bottle scraper, as shown and described."
D02433842,"Combined draw bolt and lock for luggage or the like",1975-01-07,1977-02-15,"Edward M. Stolarz","Presto Lock Company, Division of Walter Kidde & Company, Inc.",D0807,D176011;D200974;D202065;D215199,"The ornamental design for a combined draw bolt and lock for luggage or theike, as shown and described."
D02433850,"Wall plate",1975-10-20,1977-02-15,"Joan Grieb","General Electric Company",D0809,D79510;D122954;D199062,"The ornamental design for a wall plate, as shown and described."
D02433869,"Dispensing container",1975-06-11,1977-02-15,"Earl Hoyt","Morton-Norwich Products, Inc.",D0901,D187401;D217226;D230135,"The ornamental design for a dispensing container, or similar article, asshown."
D02433877,"Carafe",1974-06-10,1977-02-15,"Roger de Jouennes","",D0901,D45938;D67756;D233982,"The ornamental design for a carafe, as shown."
D02433885,"Container for newspapers or the like",1974-03-12,1977-02-15,"Sarah J. Dumas","",D0903,D163780;D215345;D215347;1656015;2575770;2885135,"The ornamental design for a container for news papers or the like,substantially as shown and described."
D02433893,"Plastic binding size selector",1975-08-28,1977-02-15,"John W. Lyon","",D1004,D22531;950221;1638885;1881651,"The ornamental design for a plastic binding size selector, substantially asshown and described."
D02433907,"Planter",1976-04-12,1977-02-15,"Lena Mastrianni","",D1102,D4273;D124202;D214804,"The ornamental design for a planter, as shown and described."
