WKU,Title,App_Date,Issue_Date,Inventor,Assignee,ICL_Class,References,Claims
D02462710,"Diving helmet",1976-01-09,1977-11-08,"Leon A. Cerniway;Bruce C. Marx","U.S. Divers Co.",D0203,D242881;3943571,"The ornamental design for a diving helmet, substantially as shown."
D02462729,"Sun visor",1976-06-18,1977-11-08,"William P. Bay","",D0203,2874387;3927421,"The ornamental design for the sun visor, as shown and described."
D02462737,"Combined storage cabinet projector support and movie screen unit",1975-06-27,1977-11-08,"George Kavis","",D0603,D180542;D237337,"The ornamental design for a combined storage cabinet, projector support andmovie screen unit, as shown and described."
D02462745,"Combined storage and display device for graphic pictures or the like",1975-12-01,1977-11-08,"Carl Nelson;Bruce Grossman","",D0607;D2002,D103983;D190374;D212267;D228538;2772494;3167874;3517905,"The ornamental design for the combined storage and display device forgraphic pictures or the like, as shown and described."
D02462753,"Compartmented plate",1976-04-26,1977-11-08,"Robert L. Wiley","SiLITE, Incorporated",D0701,D55218;71115;D112920;D142283;D145711;3164285;3941286,"The ornamental design for a compartmented plate, as shown."
D02462761,"Dinner plate",1976-01-02,1977-11-08,"Otto J. Lund","H. F. Coors Company, Inc.",D0701,D204149,"The ornamental design for a dinner plate, as shown and described."
D02462770,"Snack tray",1976-02-23,1977-11-08,"Frank Forselius","",D0799,D167083;D169817;3792775,"The ornamental design for a snack tray, as shown."
D02462788,"Snack tray",1976-06-16,1977-11-08,"Frank Forselius","",D0799,D144016;D145718;D158397;D169817,"The ornamental design for a snack tray, as shown and described."
D02462796,"Napkin stand",1976-03-10,1977-11-08,"Frederick Arnold Haas, Jr.","",D0706,D4080;D25319;D243992;291704,"The ornamental design for a napkin stand, as shown."
D02462800,"Tongs",1976-02-05,1977-11-08,"Robert H. C. M. Daenen","Dart Industries Inc.",D0706,D55487;D101764;D138917;D189488;3214210;3934915,"The ornamental design for tongs, substantially as shown."
D02462818,"Knife",1976-04-21,1977-11-08,"Daniel A. Ferrara, Jr.","Ferrara-Benedek Design, Inc.",D0703,D128623;D136445;D169413;D185958;D191825;D195302;D204635;256700;732911,"The ornamental design for a knife, as shown and described."
D02462826,"Knife handle",1975-05-13,1977-11-08,"Dennis B. Jackson","Wiltshire Cutlery Company Proprietary Ltd.",D0703,D119400;D198695;D212811;D229739;D233122;3367673,"The ornamental design for a knife handle, as shown and described."
D02462834,"Ski boot buckling tool",1976-01-23,1977-11-08,"Alan D. Sapowith","",D0805,D227650;D235842;3149384;3270927,"The ornamental design for a ski boot buckling tool, as shown."
D02462842,"Device for removing sheets from a file of papers",1976-05-28,1977-11-08,"Edelmiro Salas Arce","",D0805,3787946;3913425,"The ornamental design for a device for removing sheets from a file ofpapers, as shown."
D02462850,"Hand driven caulking gun",1976-02-20,1977-11-08,"Fred James Gallagher","",D0805,D61192;1531234;3281023,"The ornamental design for a hand driven caulking gun, as shown."
D02462869,"Pulley",1976-02-13,1977-11-08,"Junius Thomas Moore","The Moore Company, Inc.",D1205,D222428,"The ornamental design for a pulley, as shown."
D02462877,"Bottle crate",1975-02-21,1977-11-08,"Erwin Tietz","",D0903,D233020;3380616;3565278,"The ornamental design for a bottle crate, as shown and described."
D02462885,"Food container",1976-01-09,1977-11-08,"Richard A. Boucher","Dart Industries Inc.",D0903,D221521;D238137;D238148;D240355;3394861,"The ornamental design for a food container, substantially as shown."
D02462893,"Food container",1976-01-09,1977-11-08,"Richard A. Boucher","Dart Industries Inc.",D0903,D220448;D220751;D221521;D235406;D241599;2780385;3394861,"The ornamental design for a food container, substantially as shown."
D02462907,"Clock",1976-06-16,1977-11-08,"Charles R. Shelton","",D1001,D17287;D197662;1533297,"The ornamental design for a clock, as shown and described."
D02462915,"Wattmeter or similar housing",1976-03-08,1977-11-08,"Rudolph William Krolopp","Motorola, Inc.",D1004,D223404;D236590;B402555,"The ornamental design for a wattmeter or similar article, substantially asshown."
