WKU,Title,App_Date,Issue_Date,Inventor,Assignee,ICL_Class,References,Claims
D02432919,"Pocket for trousers or the like",1975-05-05,1977-02-08,"David Mechaly;Jean-Claude Gillard","",D0202,102990,"The ornamental design for a pocket for trousers or the like, substantiallyas shown and described."
D02432927,"Glove for pool, billiards, or the like",1975-02-07,1977-02-08,"Elmer C. Koehler","",D0206,1362461;2025710;2751592,"The ornamental design of a glove for pool, billiards, or the like,substantially as shown and described."
D02432935,"Adjusted suspender",1975-03-12,1977-02-08,"Horatio Scheimberg","",D0207,2682669;2753569;D123108,"The design for an adjustable suspender, substantially as shown anddescribed."
D02432943,"Hand powered tufting machine",1975-06-25,1977-02-08,"Fred A. Thaheld;Fred H. Thaheld","Rumplestiltskin s Craft Shop, Inc.",D1506,1798224;2578038;2635567;D151312,"The ornamental design for hand-powered tufting machine, substantially asshown and described."
D02432951,"Pedestal base",1975-06-16,1977-02-08,"George J. Hartinger","",D0603,1781757;D194037;D236300;D236668,"The ornamental design for a pedestal base, substantially as shown."
D02432960,"Chair",1975-06-30,1977-02-08,"Marten Gottsegen","",D0601,D210453,"The ornamental design for a chair, as shown."
D02432978,"Hanging rack",1975-12-22,1977-02-08,"Joseph N. Vizzard","",D0604,433859;D145069,"The ornamental design for a hanging rack, substantially as shown."
D02432986,"Rack for spice containers",1975-12-12,1977-02-08,"Gayle A. Taubman","",D0604,D160367;D175516;D239244,"The ornamental design for a rack for spice containers, as shown anddescribed."
D02432994,"End table",1975-09-30,1977-02-08,"Ralph Jackson","",D0603,D159561;D221562;D222624;D236785,"The ornamental design for a end table, substantially as shown."
D02433001,"Work bench for a fruit and vegetable grader",1975-10-02,1977-02-08,"Grover N. Christensen","",D0603,D138337;D191170;D235295,"The ornamental design for a work bench for a fruit and vegetable grader,substantially as shown and described."
D02433010,"Cheval-glass",1975-04-30,1977-02-08,"Ole Stig Ravn","Stig Ravn A/S",D0607,3220132;D90848;D227637;D229469,"The ornamental design for a cheval-glass, as shown and described."
D02433028,"Sunglass rack",1975-10-23,1977-02-08,"George Weisenfeld;David Halpern","",D2002,3817392;3884357;3891092;D206736,"The ornamental design for a sunglass rack, substantially as shown."
D02433036,"Cocktail table",1975-09-30,1977-02-08,"Ralph Jackson","",D0601,D159562;D166360;D200412;D207646;D218943;D221562;D236785,"The ornamental design for a cocktail table, substantially as shown."
D02433044,"Armrest cover or similar article",1975-09-02,1977-02-08,"Robert S. Fuqua","",D0613,D178372;D184056;D238993,"The ornamental design for an armrest cover, or similar article, as shown."
D02433052,"Placemat or similar article",1975-08-04,1977-02-08,"Gary K. Kobashikawa","",D0613;D0706,D37021;D47458;D139971;D143343,"The ornamental design for a placemat or similar article, as shown."
D02433060,"Knockdown furniture base or similar article",1975-06-06,1977-02-08,"John W. Moyer","",D0606,1645336;2427832;D141222;D209406,"The ornamental design for a knockdown furniture base or similar article,substantially as shown and described."
D02433079,"Canister",1975-05-05,1977-02-08,"Dominick Loscalzo","Dart Industries Inc.",D0707,1959262;D21103;D33631;D55067;D80478;D213672;D235186;D237855,"The ornamental design for a canister, substantially as shown and described."
D02433087,"Coffeemaker or the like",1975-04-16,1977-02-08,"Wolfgang Harms;Karl H. Bergmann","",D0702,D228053;D234114;D235015,"The ornamental design for coffeemaker or the like, substantially as shown."
D02433095,"Grill",1975-07-23,1977-02-08,"Kosti Reunanen","Reunanen & Roviola Oy",D0704,1210479;3243576;3688758;D212137;D219413,"The ornamental design for a grill, as shown and described."
D02433109,"Barbeque",1976-03-01,1977-02-08,"Carol Lee Heberling","",D0705,D235088;D237856,"The ornamental design for a barbeque, substantially as shown."
