WKU,Title,App_Date,Issue_Date,Inventor,Assignee,ICL_Class,References,Claims
D02435616,"Pantyhose",1975-02-07,1977-03-08,"Teresita E. Alvarez","Burlington Industries, Inc.",D0204,3678515,"The ornamental design of a pantyhose, as shown and described."
D02435624,"Woman s two-piece bathing suit",1975-03-10,1977-03-08,"William H. Kruse","",D0202,3430632;D151885;D165872,"The ornamental design for a woman s two-piece bathing suit, as shown."
D02435632,"Head covering",1975-06-11,1977-03-08,"Betty C. Kreisel","",D0203,D130741;D135323,"The ornamental design for a head covering, substantially as shown."
D02435640,"Head covering",1975-08-20,1977-03-08,"Betty C. Kreisel","",D0203,D40957;D135323,"The ornamental design for a head covering, substantially as shown."
D02435659,"Ornamental design for a boot",1975-08-26,1977-03-08,"Guy Charles DE Massacre","",D0204,2190802;2540531;D101541;D235283,"The ornamental design for a boot, substantially as shown."
D02435667,"Boot",1975-10-20,1977-03-08,"Guy DE Massacre","",D0204,2540531;D93838;D235283,"The ornamental design for a boot, substantially as shown."
D02435675,"Boot",1975-10-20,1977-03-08,"Guy DE Massacre","",D0204,2540531;D93838;D235283,"The ornamental design for a boot, substantially as shown."
D02435683,"Tooth brush",1974-12-04,1977-03-08,"Per Axel Torbjorn Axelsson","",D0402,1382681;2004633;3350737;D110185;D163707;D231872,"The ornamental design for a tooth brush, as shown and described."
D02435691,"Baby carrier",1975-09-17,1977-03-08,"Robert K. Lieding;Richard E. Cone","",D0601,3325213;D169398,"The ornamental design for a baby carrier, as shown."
D02435705,"Chair",1975-10-15,1977-03-08,"Richard F. Laurenzi","",D0601,D82161;D212695;D232671;D235946,"The ornamental design for a chair, as shown."
D02435713,"Wicker chair",1975-06-16,1977-03-08,"John B. Wisner","Ficks Reed Company",D0601,D234329;D234331,"The ornamental design for a wicker chair, as shown."
D02435721,"Chair",1975-03-18,1977-03-08,"Giovanni Offredi","Fratelli Saporiti",D0601,3001824;3069204;D235711,"The ornamental design for a chair, substantially as shown."
D02435730,"Measuring cup rack",1976-02-13,1977-03-08,"Charles Martin Flaherty","Dart Industries Inc.",D0604,2572797;2634865;2990065;D174257,"The ornamental design for a measuring cup rack, substantially as shown."
