WKU,Title,App_Date,Issue_Date,Inventor,Assignee,ICL_Class,References,Claims
D02432099,"Plume",1975-01-20,1977-02-01,"Saul E. Fisher","",D0203,D13069;1043152,"The ornamental design for a plume, as shown."
D02432102,"Boot",1975-04-16,1977-02-01,"James F. Summa;John R. White","Uniroyal Inc.",D0204,D60133;D127243;D142281;D232876;D238523,"The ornamental design for a boot, substantially as shown and described."
D02432110,"Athletic shoe",1975-02-10,1977-02-01,"Robert J. Gamm","Trans-World Shoe Import Co., Inc.",D0204,D227821;D228267,"The ornamental design for an athletic shoe, substantially as shown anddescribed."
D02432129,"Chair",1975-09-02,1977-02-01,"James A. Downey","",D0601,D68529;D88540;D90376;D149329;D183624,"The ornamental design for a chair, substantially as shown and described."
D02432137,"Child s cot",1975-05-05,1977-02-01,"Joseph Kormos","",D0601,D188176;264137;490888;1014848;2462685,"The ornamental design for a child s cot, as shown and described."
D02432145,"Clothes tree",1975-08-18,1977-02-01,"Nancy B. Werger","",D0600,D188163;D193433;D205329;D231163;1137900,"The ornamental design for a clothes tree, substantially as shown."
D02432153,"Ottoman",1975-09-16,1977-02-01,"Thomas Winrow","Futorian Corporation",D0601,,"The ornamental design for ottoman, as shown and described."
D02432161,"Rocking chair",1975-06-06,1977-02-01,"Robert P. Elsby;John R. Strange;Walter S. Heazlitt, Jr.","Paoli Chair Company, Inc.",D0601,D43442;D115052;D224652;D237918,"The ornamental design for a rocking chair, as shown."
D02432170,"Sofa",1975-01-09,1977-02-01,"Ernest E. Warsaw","",D0601,,"The ornamental design for a sofa, as shown and described."
D02432188,"Bed frame",1974-10-18,1977-02-01,"Richard M. Baker","",D0601,3754805,"The ornamental design for a bed frame, as shown and described."
D02432196,"Shelf for potted plant stand",1976-01-15,1977-02-01,"Melvin L. Jeffries","",D0604,723964;2019249;3036717,"The ornamental design for a shelf for potted plant stand, substantially asshown and described."
D02432200,"Card holder",1975-08-27,1977-02-01,"Velma H. Binion","",D0604,D222600;D224775;D235040,"The ornamental design for a card holder, as shown and described."
D02432218,"Two-piece provincial style breakfront or the like",1974-04-23,1977-02-01,"Joseph E. Adkinson","Wilfred G. Caldwell",D0604,D234177,"The ornamental design for a two piece provincial style breakfront or thelike, substantially as shown and described."
D02432226,"Table",1975-06-13,1977-02-01,"Jose A. Lopez","Camilo Muebles, Inc.",D0603,D173409;D198218;D214494;D233382,"The ornamental design for a table, as shown and described."
