WKU,Title,App_Date,Issue_Date,Inventor,Assignee,ICL_Class,References,Claims
D02434814,"Sandwich",1974-09-09,1977-03-01,"Melvin A. Benedict","",D0199,400354;1499128;1668524;2000384,"The ornamental design for a sandwich, substantially as shown anddescribed."
D02434822,"Swim goggles",1976-01-14,1977-03-01,"Simon C. Fireman","Aqua-Leisure Industries, Inc.",D0203,,"The ornamental design for swim goggles, substantially as shown."
D02434830,"Boot",1975-10-01,1977-03-01,"Thaddeus A. Pietraszek;Richard J. Van Twisk;Algis B. Brazdzionis","Uniroyal, Inc.",D0204,1771726;2540531;D76168;D235283,"The ornamental design for a boot, substantially as shown and described."
D02434849,"Protective helmet or the like",1975-10-21,1977-03-01,"Jhoon Goo Rhee","",D0203,2105607;D238121,"The ornamental design for protective helmet or the like, as shown."
D02434857,"Stocking",1975-01-08,1977-03-01,"Sonja E. Hedgepeth","",D0204,2277012;D92188,"The ornamental design for a stocking, as shown and described."
D02434865,"Chair",1975-09-05,1977-03-01,"Randall P. Buhk","Steelcase Inc.",D0601,D227057;D230443;D233712;D233807,"The ornamental design for chair, substantially as shown and described."
D02434873,"Secretarial arm chair",1975-09-05,1977-03-01,"Randall P. Buhk","Steelcase Inc.",D0601,D227057;D230443;D233712;D233807,"The ornamental design for secretarial arm chair, substantially as shown."
D02434881,"Combination faucet extender and garden hose rack",1975-09-22,1977-03-01,"Lincoln L. Linse","",D0606;D2301,2334141;3029933;3329381;D150112;D207246;D231718,"The ornamental design for a combination faucet extender and garden hoserack, as shown."
D02434890,"Hanging support for pots, pans, or the like",1975-05-27,1977-03-01,"Jacque E. Moore","",D0604,1394947;D185472,"The ornamental design for a hanging support for pots, pans, or the like, asshown."
D02434903,"Jewelry cabinet",1976-05-19,1977-03-01,"Arden R. Reusink","",D0604,3930702;D237234,"The ornamental design for a jewelry cabinet, substantially as shown anddescribed."
D02434911,"Mirrored bathroom cabinet",1974-06-21,1977-03-01,"Guy Vrignaud","Allibert Exploitation Societe Anonyme",D0604,D135813;D140216,"The ornamental design for a mirrored bathroom cabinet, as shown anddescribed."
D02434920,"Display stand",1976-05-21,1977-03-01,"Michael Stewart Gorwits","",D0604;D2002,1266694;2421232;3057591;D227326,"The ornamental design for a display stand, as shown and described."
D02434938,"Mixing and casting table",1975-10-15,1977-03-01,"Maurice E. Meisner","",D0603,D157748;D164425;D213997,"The ornamental design for a mixing and casting table, substantially asshown and described."
D02434946,"Holder for coins",1975-09-02,1977-03-01,"Hsio Wang","",D0604,D142609;D165799;D203916;D233120;D239575,"The ornamental design for a holder for coins, substantially as shown anddescribed."
D02434954,"Display apparatus for automobile sound entertainment products or the like",1975-08-01,1977-03-01,"Paul Dean McGee","Motorola, Inc.",D0604,D184063;D210587;D211023;D215944,"The ornamental design for a display apparatus for automobile soundentertainment products or the like, substantially as shown and described."
D02434962,"Ventilated cover for motorcycle seat",1975-10-03,1977-03-01,"Robert E. Flowers","",D1211,1271375;1322959;3514156;3844610,"The ornamental design for a ventilated cover for a motorcycle seat,substantially as shown."
D02434970,"Clothes hanger body",1973-11-16,1977-03-01,"Jose Brufau","",D0608,853756;2941706,"The ornamental design for a clothes hanger body, as shown."
D02434989,"Cordless electrically heated cup",1975-06-26,1977-03-01,"Pino Pianezza","",D0701,2863037;D70369;D174365;D177167;D220845,"The ornamental design for a cordless electrically heated cup, as shown anddescribed."
D02434997,"Water metering apparatus for a coffee maker or similar article",1975-02-03,1977-03-01,"Hans Joachim Hugo Julkenbeck","U.S. Philips Corporation",D0702,3869968;D164554;D211487;D228331;D234901,"The ornamental design for a water metering apparatus for a coffee maker orsimilar article, as shown and described."
D02435004,"Measuring cup",1975-04-21,1977-03-01,"Jack P. Cooper","",D1004,D70329;D139416;D163117;D174365;D220845;D227535,"The ornamental design for a measuring cup, substantially as shown anddescribed."
D02435012,"Coffeemaker",1975-06-06,1977-03-01,"David L. Painter","Dart Industries Inc.",D0702,D211487;D228331;D232410,"The ornamental design for a coffeemaker, substantially as shown."
D02435020,"Burner assembly for a portable cooking stove",1975-06-11,1977-03-01,"Ming Kong Chan","",D0704,3822982;D236867,"The ornamental design for a burner assembly for a portable cooking stove,substantially as shown and described."
D02435039,"Spoon or similar article",1975-08-25,1977-03-01,"Colin B. Richmond, II","General Mills, Inc.",D0703,D164646;D215027;D222924;D225025;D226975,"The ornamental design for a spoon or similar article, substantially asshown and described."
D02435047,"Wood rack or similar article",1975-08-28,1977-03-01,"Sammy C. Morrison","",D0708,1252176;3187901;D235729,"The ornamental design for a wood rack or similar article, as shown."
D02435055,"Drill guide",1975-08-20,1977-03-01,"Ronald Price Hickman","",D0805,3775620;3804546;D228612,"The ornamental design for a drill guide, substantially as shown anddescribed."
D02435063,"Skate board adjustment tool",1975-11-03,1977-03-01,"Albert J. Hess","",D0805,3276299;3578046,"The ornamental design for a skate board adjustment tool, as shown anddescribed."
D02435071,"Egg carton",1974-12-02,1977-03-01,"Jorgen Nilaus Petersen","Aktieselskabet Brodrene Hartmann",D0903,2924368;3184133;3289911;3458108;3572578;3715071;3741461,"The ornamental design for an egg carton, substantially as shown anddescribed."
D02435080,"Box blank",1975-08-13,1977-03-01,"Earl J. Killy","Olinkraft, Inc.",D0903,2524441;3017065;3257028;3866815;D232303,"The ornamental design for a box blank, substantially as shown anddescribed."
D02435098,"Plant stake",1976-03-18,1977-03-01,"Philip T. Wheeler","The John Henry Company",D3100,680507;2349110;2809809;2954194;D231628,"The ornamental design for a plant stake, as shown."
D02435101,"Screw plug mounting for an electric immersion heater",1976-03-22,1977-03-01,"Robert D. Shirey;Joseph L. Lohman","",D0808,1279651;1569881;3138173,"The ornamental design for a screw plug mounting for an electric immersionheater, substantially as shown."
D02435110,"Clock or similar article",1976-01-23,1977-03-01,"James O. O Brien","",D1001,3845614;D104196;D175465,"The ornamental design for a clock or similar article, substantially asshown and described."
D02435128,"Card-mounted thermometer",1975-06-16,1977-03-01,"Philip L. Van Kersen","",D1004,2799167;3047405;D236815;D239261,"The ornamental design for a card-mounted thermometer, as shown."
D02435136,"Intrusion alarm",1976-02-12,1977-03-01,"Aaron A. Galvin;Francis R. Keeler","American District Telegraph Company",D1005,,"The ornamental design for an intrusion alarm, as shown."
D02435144,"Clip-on wheel reflector for bicycles",1975-06-09,1977-03-01,"Joseph L. Coulombe","",D2606,2344542;D208382;D236599,"The ornamental design for a clip-on wheel reflector for bicycles, as shownand described."
D02435152,"Road marker",1976-02-23,1977-03-01,"Mendel King","",D1006,3502008;3850536,"The ornamental design for a road marker, as shown and described."
D02435160,"Combined dial and hands for a timepiece",1975-03-12,1977-03-01,"Hugo Vajk","Regent Marine & Instrumentation, Inc.",D1007,2361267;2619793;3696610;3777475;D198536,"The ornamental design for a combined dial and hands for a timepiece,substantially as shown."
D02435179,"Snowmobile track",1975-07-01,1977-03-01,"Jean-Rock Belanger","Bombardier Limited",D1214,3582154;3637267,"The ornamental design for a snowmobile track, as shown and described."
D02435187,"Multiple use service cart",1975-11-03,1977-03-01,"Richard R. Dillon;John F. Graham","Honeywell Information Systems Inc.",D1202,D90713;D118060,"The ornamental design for a multiple use service cart, substantially asshown and described."
D02435195,"Boat",1976-04-15,1977-03-01,"Charles W. Sherburne","",D1206,282853;D186341;D201774;D214598,"The ornamental design for boat, substantially as shown."
D02435209,"Helicopter tank",1976-01-08,1977-03-01,"Erben G. Brown","Golden State Helicopters, Inc.",D1299,3778011;D154871,"The ornamental design for a helicopter tank, as shown."
D02435217,"Car body",1975-12-01,1977-03-01,"Michel Tixier","Regie Nationale des Usines Renault",D1208,D230577;D231672;D231915,"The ornamental design for a car body, as shown and described."
D02435225,"Electrostatic copier",1975-10-17,1977-03-01,"Kenichi Nakade","Ricoh Co. Ltd.",D1603,3751158;D224450;D230084;D231129,"The ornamental design for an electrostatic copier, as shown."
D02435233,"Pair of spectacles",1975-12-08,1977-03-01,"Richard W. Canavan, III","American Optical Corporation",D1606,D228674,"The ornamental design for a pair of spectacles, as shown and described."
D02435241,"Combined calendar holder and note paper dispenser",1975-07-09,1977-03-01,"Thomas Intini","Maypack Inc.",D1902,D43497;D46314;D175449;D228998,"The ornamental design for combined calendar holder and note paperdispenser, as shown."
D02435250,"Menu holder",1974-09-13,1977-03-01,"Robert A. Summers;Henry Leong","",D1904,D32313;D159614;D227970,"The ornamental design for a menu holder, as shown."
D02435268,"Microfiche file or similar article",1975-03-31,1977-03-01,"John W. Overman","Bell & Howell Company",D1902,3253871;D174672;D181514;D226586,"The ornamental design for a microfiche file or similar article, as shownand described."
D02435276,"Artificial arrow fletch",1975-08-20,1977-03-01,"Leonard Schnipke","",D2205,2976043,"The ornamental design for an artificial arrow fletch, as shown."
D02435284,"Fish lure",1975-11-19,1977-03-01,"Francis E. Ryder;Michael D. Thomas","Ryder International Corporation",D2205,2606388;3165857;D138496;D147901;D174367;D198089,"The ornamental design for a fish lure, substantially as shown."
D02435292,"Snake head slip sinker",1975-07-23,1977-03-01,"Richard D. Woodard","",D2205,3273278;3545120;3834061,"The ornamental design for a snake head slip sinker, substantially as shown."
D02435306,"Portable air supply tank",1975-07-24,1977-03-01,"Kenneth E. Bodine;Verle A. McDowell","",D2301,3776412;D186694;D213249;D238874,"The ornamental design of a portable air supply tank, substantially asshown."
D02435314,"Filter media",1975-06-04,1977-03-01,"Ralph F. Strigle, Jr.","Norton Company",D2301,2834466;3266787;3430934;3506248;3543937;3589518;D217245;D232237,"The ornamental design for a filter media, as shown."
D02435322,"Spray gun for washing vehicles",1975-07-21,1977-03-01,"Billy D. Fyffe","",D2301,D100385;D179807;D200937;D202216;D213556;D214562,"The ornamental design for a spray gun for washing vehicles, substantiallyas shown and described."
D02435330,"Restaurant building",1975-04-15,1977-03-01,"Alvin C. Copeland","",D2503,D210007;D210820;D213677;D219335;D221631;D223566,"The ornamental design for a restaurant building, as shown and described."
D02435349,"Data input console for construction cost estimator system",1975-07-16,1977-03-01,"John Blesch","Varian Associates",D1402,D203989;D205709;D206068;D224415;D237196,"The ornamental design for a data input console for construction costestimator system, as shown and described."
